Date,Open,High,Low,Close,Adj Close,Volume
2016-02-10,6071.310059,6088.799805,6006.689941,6019.490234,6019.490234,52094200
2016-02-11,6019.490234,6028.680176,5987.020020,5987.020020,5987.020020,24566000
2016-02-12,5987.029785,5987.029785,5910.029785,5933.959961,5933.959961,35147100
2016-02-15,5933.970215,6043.390137,5933.959961,6034.279785,6034.279785,26658500
2016-02-16,6034.290039,6075.370117,6034.279785,6075.370117,6075.370117,53758600
2016-02-17,6075.370117,6137.839844,6075.370117,6085.560059,6085.560059,62125500
2016-02-18,6085.560059,6125.479980,6085.560059,6111.089844,6111.089844,55369700
2016-02-19,6111.089844,6147.750000,6111.089844,6141.709961,6141.709961,56321700
2016-02-22,6141.720215,6141.720215,6114.120117,6139.459961,6139.459961,40386900
2016-02-23,6139.470215,6186.299805,6139.459961,6175.669922,6175.669922,40456900
2016-02-24,6175.669922,6233.799805,6175.669922,6230.370117,6230.370117,47555300
2016-02-25,6231.160156,6231.220215,6210.859863,6225.279785,6225.279785,33105400
2016-02-26,6225.270020,6234.240234,6206.450195,6224.979980,6224.979980,38747700
2016-02-29,6231.959961,6254.720215,6229.069824,6230.870117,6230.870117,39993500
2016-03-01,6233.529785,6280.899902,6233.529785,6280.899902,6280.899902,37892900
2016-03-02,6308.089844,6315.109863,6286.330078,6313.069824,6313.069824,42516900
2016-03-03,6313.080078,6383.629883,6313.069824,6380.859863,6380.859863,55649400
2016-03-04,6380.870117,6423.589844,6380.859863,6418.129883,6418.129883,45223900
2016-03-07,6418.120117,6426.569824,6407.240234,6418.930176,6418.930176,30227100
2016-03-08,6419.580078,6446.729980,6414.520020,6446.720215,6446.720215,39390100
2016-03-09,6450.259766,6457.259766,6433.529785,6457.259766,6457.259766,45902600
2016-03-10,6476.959961,6513.620117,6476.959961,6508.279785,6508.279785,47433400
2016-03-11,6508.279785,6517.879883,6484.529785,6515.410156,6515.410156,37051300
2016-03-14,6515.410156,6577.100098,6515.410156,6566.830078,6566.830078,34578000
2016-03-15,6568.589844,6607.859863,6567.549805,6577.819824,6577.819824,47873100
2016-03-16,6579.810059,6579.810059,6556.970215,6562.959961,6562.959961,52427200
2016-03-17,6584.569824,6584.569824,6553.870117,6573.450195,6573.450195,49872300
2016-03-18,6573.459961,6623.509766,6573.450195,6623.500000,6623.500000,132246400
2016-03-21,6626.279785,6649.609863,6618.339844,6641.939941,6641.939941,42110600
2016-03-22,6641.939941,6664.259766,6635.560059,6664.250000,6664.250000,47626600
2016-03-23,6663.660156,6691.259766,6660.229980,6668.870117,6668.870117,43852900
2016-03-24,6668.859863,6692.080078,6658.979980,6662.549805,6662.549805,34712100
2016-03-29,6662.540039,6689.370117,6656.330078,6676.330078,6676.330078,34447200
